arxiv_id,title,abstract,published_date,updated_date,primary_category,categories,authors,doi,journal_reference,pdf_link
2507.13333v1,N Bugs on a Circle,"We describe and analyze a generalization of the classic ``Four Bugs on a
Square'' cyclic pursuit problem. Instead of allowing the bugs to spiral towards
one another, we constrain $N$ bugs to the perimeter of the unit circle.
Depending on their configuration, each bug moves either clockwise or
counterclockwise with a constant angular speed, or remains stationary. Unlike
the original problem where bugs always coalesce, this generalization produces
three possible steady states: all bugs coalescing ...",2025-07-17,2025-07-17,math.DS,"math.DS,cs.NA,math.NA",Josh Briley; Bryan Quaife,,,http://arxiv.org/pdf/2507.13333v1
2507.13332v1,"The Imitation Game: Turing Machine Imitator is Length Generalizable
  Reasoner","Length generalization, the ability to solve problems of longer sequences than
those observed during training, poses a core challenge of Transformer-based
large language models (LLM). Although existing studies have predominantly
focused on data-driven approaches for arithmetic operations and symbolic
manipulation tasks, these approaches tend to be task-specific with limited
overall performance. To pursue a more general solution, this paper focuses on a
broader case of reasoning problems that are ...",2025-07-17,2025-07-17,cs.CL,cs.CL,Zhouqi Hua; Wenwei Zhang; Chengqi Lyu; Yuzhe Gu; Songyang Gao; Kuikun Liu; Kai Chen,,,http://arxiv.org/pdf/2507.13332v1
2507.13331v1,"Where is the Supervirial Gas? III. Insights from X-ray Shadow
  Observations and a revised Model for the Soft Diffuse X-ray Background","Shadow observations provide a powerful tool to separate foreground components
of the soft diffuse X-ray background (SDXB) from the background components.
Such observations have now established that the ``local'' foreground is made of
the solar wind charge exchange and the local bubble, and the background
emission is from the extended circumgalactic medium (CGM) of the Milky Way and
from the unresolved extragalactic sources. New data and careful analyses of the
SDXB led to two new discoveries in ...",2025-07-17,2025-07-17,astro-ph.GA,"astro-ph.GA,astro-ph.HE",Anjali Gupta; Smita Mathur; Joshua Kingsbury; Esma Korkmaz; Sanskriti Das; Yair Krongold; Manami Roy; Armando Lara-DI,,,http://arxiv.org/pdf/2507.13331v1
2507.13330v1,"A hierarchy of blood vessel models, Part II: 3D-3D to 3D-1D and 1D","We propose and analyze a hierarchy of three models of blood perfusion through
a tissue surrounding a thin arteriole or venule. Our goal is to rigorously link
3D-3D Darcy--Stokes, 3D-1D Darcy--Poiseuille, and 1D Green's function methods
commonly used to model this process. Here in Part II, we consider the most
detailed level, a 3D-3D Darcy-Stokes system coupled across the permeable vessel
surface by mass conservation and pressure/stress balance conditions. We derive
a convergence result between t...",2025-07-17,2025-07-17,math.AP,"math.AP,physics.bio-ph,physics.flu-dyn,q-bio.TO",Laurel Ohm; Sarah Strikwerda,,,http://arxiv.org/pdf/2507.13330v1
2507.13329v1,"Edge-coloring $K_{n, n}$ with no 2-colored $C_{2k}$","The generalized Ramsey number $r(G, H, q)$ is the minimum number of colors
needed to color the edges of $G$ such that every isomorphic copy of $H$ has at
least $q$ colors. In this note, we improve the upper and lower bounds on
$r(K_{n, n}, C_{2k}, 3)$. Our upper bound answers a question of Lane and
Morrison. For $k=3$ we obtain the asymptotically sharp estimate $r(K_{n, n},
C_6, 3) = \frac{7}{20} n + o(n)$.",2025-07-17,2025-07-17,math.CO,math.CO,Deepak Bal; Patrick Bennett,,,http://arxiv.org/pdf/2507.13329v1
2507.13328v1,"Vision-and-Language Training Helps Deploy Taxonomic Knowledge but Does
  Not Fundamentally Alter It","Does vision-and-language (VL) training change the linguistic representations
of language models in meaningful ways? Most results in the literature have
shown inconsistent or marginal differences, both behaviorally and
representationally. In this work, we start from the hypothesis that the domain
in which VL training could have a significant effect is lexical-conceptual
knowledge, in particular its taxonomic organization. Through comparing minimal
pairs of text-only LMs and their VL-trained count...",2025-07-17,2025-07-17,cs.CL,"cs.CL,cs.AI",Yulu Qin; Dheeraj Varghese; Adam Dahlgren Lindström; Lucia Donatelli; Kanishka Misra; Najoung Kim,,,http://arxiv.org/pdf/2507.13328v1
2507.13327v1,Graphical Designs find Combinatorial Structures,"Graphical designs are subsets of vertices of a graph that perfectly average a
selected set of eigenvectors of the Graph Laplacian. We show that in
highly-structured graphs, graphical designs can coincide with highly structured
and well-known combinatorial objects: orthogonal arrays in hypercube graphs,
combinatorial block designs and extremizers of the Erdos-Ko-Rado theorem in
Johnson graphs, and t-wise uniform sets of permutations and symmetric subgroups
in normal Cayley graphs on the symmetric...",2025-07-17,2025-07-17,math.CO,"math.CO,math.SP",Zawad Chowdhury; Stefan Steinerberger; Rekha R. Thomas,,,http://arxiv.org/pdf/2507.13327v1
2507.13326v1,"A Real-Time System for Egocentric Hand-Object Interaction Detection in
  Industrial Domains","Hand-object interaction detection remains an open challenge in real-time
applications, where intuitive user experiences depend on fast and accurate
detection of interactions with surrounding objects. We propose an efficient
approach for detecting hand-objects interactions from streaming egocentric
vision that operates in real time. Our approach consists of an action
recognition module and an object detection module for identifying active
objects upon confirmed interaction. Our Mamba model with E...",2025-07-17,2025-07-17,cs.CV,cs.CV,Antonio Finocchiaro; Alessandro Sebastiano Catinello; Michele Mazzamuto; Rosario Leonardi; Antonino Furnari; Giovanni Maria Farinella,,,http://arxiv.org/pdf/2507.13326v1
2507.13325v1,Social and Political Framing in Search Engine Results,"Search engines play a crucial role in shaping public discourse by influencing
how information is accessed and framed. While prior research has extensively
examined various dimensions of search bias -- such as content prioritization,
indexical bias, political polarization, and sources of bias -- an important
question remains underexplored: how do search engines and
ideologically-motivated user queries contribute to bias in search results. This
study analyzes the outputs of major search engines us...",2025-07-17,2025-07-17,cs.CL,cs.CL,Amrit Poudel; Tim Weninger,,ICWSM 2026,http://arxiv.org/pdf/2507.13325v1
2507.13324v1,"A Framework for Waterfall Pricing Using Simulation-Based Uncertainty
  Modeling","We present a novel framework for pricing waterfall structures by simulating
the uncertainty of the cashflow generated by the underlying assets in terms of
value, time, and confidence levels. Our approach incorporates various
probability distributions calibrated on the market price of the tranches at
inception. The framework is fully implemented in PyTorch, leveraging its
computational efficiency and automatic differentiation capabilities through
Adjoint Algorithmic Differentiation (AAD). This en...",2025-07-17,2025-07-17,q-fin.PR,"q-fin.PR,91G40 (Primary) 91G40, 91G60, 91G70 (Secondary)",Nicola Jean; Giacomo Le Pera; Lorenzo Giada; Claudio Nordio,,,http://arxiv.org/pdf/2507.13324v1
